Kategori,Fråga,Rätt svar,Fel svar 1,Fel svar 2,Fel svar 3,
geografi,Vilken dansk stad är känd för sina färgglada hus vid hamnen?,Köpenhamn,Århus,Odense,Aalborg,
geografi,Vilket är världens högst belägna huvudstad?,La Paz,Quito,Thimphu,Kathmandu,
geografi,Vad heter Europas största sjö?,Ladogasjön,Onegasjön,Vänern,Genèvesjön,
geografi,Var kan man se Europas högsta byggnad i Sankt Petersburg?,Lakhta Center,Moskva City,Shard,Frankfurt Tower,
geografi,Vad heter världsarvet som skyddar fjällnaturen i Lappland?,Laponia,Sarek,Lyckselefjällen,Padjelanta,
geografi,Var ligger Abisko nationalpark?,Lappland,Värmland,Norrbotten,Gästrikland,
geografi,I vilket landskap ligger Kungsleden – en populär vandringsled?,Lappland,Dalarna,Jämtland,Västergötland,
geografi,I vilket landskap finns Padjelanta nationalpark?,Lappland,Dalarna,Småland,Halland,
geografi,I vilket landskap ligger Jokkmokks marknad?,Lappland,Norrbotten,Småland,Dalarna,Lappland
geografi,I vilket landskap finns världsarvet Laponia?,Lappland,Norrbotten,Jämtland,Dalarna,
geografi,Var finns Icehotel i Jukkasjärvi?,Lappland,Västergötland,Jämtland,Dalsland,
geografi,Var finns Jokkmokksfjällen?,Lappland,Jämtland,Dalarna,Ångermanland,
geografi,Vad heter Spaniens mest kända amfiteater som används för tjurfäktning?,Las Ventas,Málaga Arena,Barcelona Arena,Toledo Stadion,
geografi,Vad heter Europas mest kända grottmålningar?,Lascaux,Altamira,Cosquer,Chauvet,
geografi,Vad kallas det när magma når jordens yta?,Lava,Eruption,Vulkanism,Magmatism,
geografi,Vilken ort i Dalarna är särskilt känd för midsommarfirande?,Leksand,Vedum,Stora Levene,Åmål,
geografi,Helt omgivet av Sydafrika ligger detta land,Lesotho,Swaziland,Botswana,Mozambique,
geografi,Var ligger Gamla stan Gamla Riga?,Lettland,Estland,Litauen,Polen,
geografi,Vad heter kända sportevenemanget som startar i Lidingö?,Lidingöloppet,Vasaloppet,Göteborgsvarvet,Lundaloppet,
geografi,"Vad heter landmärket vid hamnen som kallas ""Läppstiftet""?",Lilla Bommen,Eriksbergskranen,Operahuset,Hamntornet,
geografi,"I Peru, vilken stad är huvudstad?",Lima,Nicosia,Dhaka,Montevideo,
geografi,Vad heter Göteborgs största nöjespark?,Liseberg,Gröna Lund,Furuvik,Tivoli,
geografi,Vilken stad är huvudstad i Portugal?,Lissabon,New Delhi,Stockholm,Amman,
geografi,Var ligger gamla Belém-tornet?,Lissabon,Porto,Sevilla,Málaga,
geografi,Var finns Europas längsta hängbro Vasco da Gama-bron?,Lissabon,Porto,Madrid,Roma,
geografi,Denne stad har bevarat sina historiska spårvagnar som turistattraktion,Lissabon,Porto,Milano,Rom,
geografi,Vilken portugisisk region är känd för sina azulejos?,Lissabon,Porto,Algarve,Madeira,
geografi,"I Slovenien, vilken stad är huvudstad?",Ljubljana,Prag,Bogotá,Santiago,
geografi,Vad heter sjön i Skottland känd för sitt sjöodjur?,Loch Ness,Loch Lomond,Loch Tay,Loch Maree,
geografi,Flygplatsen Heathrow hör till vilken stad?,London,Islamabad,Jakarta,Rotterdam,
geografi,Var finns O2-arenan?,London,Dublin,Manchester,Liverpool,
geografi,I vilken europeisk stad kan du besöka det berömda Tate Modern?,London,Edinburgh,Glasgow,Liverpool,
geografi,I vilken stad ligger det berömda Buckingham Palace?,London,Windsor,York,Bath,
geografi,Denne flygplats använder bokstavskoden LGW,London Gatwick,London Luton Give,Liverpool GW,Leeds Bradford,
geografi,Vad heter det berömda biblioteket vid Trinity College?,Long Room,Bodleian,Lindesnes,Berliner Staatsbibliotek,
geografi,Var ligger flygplatsen med kod LAX?,Los Angeles,New York,Chicago,San Francisco,
geografi,Vad heter världens största museum i Paris?,Louvre,Orsay,Prado,British Museum,
geografi,Var finns Europas största palats?,Louvre,Buckingham Palace,Prado,Versailles,
geografi,Vad heter Europas största konstmuseum?,Louvre,Hermitage,Prado,British Museum,
geografi,Vad heter fästningen i Dubrovnik som ofta syns i filmer?,Lovrijenac,Revelin,Stari Grad,Kotorfortet,
geografi,Vad heter staden vid Mekong som är Laos backpackerfavorit?,Luang Prabang,Vientiane,Chiang Rai,Siem Reap,
geografi,Var finns världsarvet Gammelstads kyrkstad?,Luleå,Umeå,Kiruna,Sundsvall,
geografi,Var ligger Sveriges näst äldsta universitet?,Lund,Uppsala,Göteborg,Umeå,
geografi,Vilken luxemburgsk stad har den största bankdistriktet i Europa?,Luxemburg,Esch-sur-Alzette,Differdange,Dudelange,
geografi,I vilken stad möts floderna Rhône och Saône?,Lyon,Genève,Paris,Basel,
geografi,I vilken europeisk stad kan du besöka det berömda Musée des Beaux-Arts?,Lyon,Paris,Marseille,Bordeaux,
geografi,Huvudstad i Spanien?,Madrid,Quito,Bangkok,Amman,
geografi,Barajas ligger vid vilken stad?,Madrid,Paris,Helsingfors,Budapest,
geografi,Var kan man besöka Prado-museet?,Madrid,Barcelona,Lissabon,Sevilla,
geografi,Var ligger Plaza Mayor?,Madrid,Barcelona,Lissabon,Sevilla,
geografi,Denna europeiska huvudstad har inga spårvagnar,Madrid,Budapest,Lissabon,Dublin,
geografi,I vilken stad ligger det berömda Prado-museet?,Madrid,Barcelona,Sevilla,Valencia,
geografi,I vilken stad ligger det berömda Teatro Real?,Madrid,Barcelona,Sevilla,Valencia,
geografi,Vem var första europé att segla jorden runt?,Magellan,Vespucci,Columbus,Cortés,
geografi,Vad heter regionen i Chile känd för sitt vin?,Maipo Valley,Sonoma,Napa,Casablanca,
geografi,Denna halvö är Asiens sydligaste punkt,Malacka-halvön,Indokinesiska halvön,Arabiska halvön,Dekan-halvön,
geografi,I detta land finns världens äldste regnskogsmråde,Malaysian,Australien,Brasilien,Kongo,
geografi,Vad heter Europas största slott sett till golvyta?,Malbork,Versailles,Windsor,Neuschwanstein,
geografi,Detta land består helt av atoller och korallöar,Maldiverna,Marshallöarna,Tuvalu,Kiribati,
geografi,I vilket land kan man besöka Dogon-folkets klipplandsbyar?,Mali,Niger,Burkina Faso,Chad,
geografi,Detta land har världens högsta genomsnittliga temperatur,Mali,Sudan,Saudi Arabien,Iran,
geografi,Vad heter Sveriges största köpcentrum utanför Stockholm?,Mall of Scandinavia,Nova Lund,Emporia,Nordstan,
geografi,Vad heter Spaniens största ö?,Mallorca,Ibiza,Teneriffa,Menorca,
geografi,Var ligger Turning Torso?,Malmö,Göteborg,Stockholm,Helsingborg,
geografi,Var ligger Emporia – det stora shoppingcentret?,Malmö,Göteborg,Stockholm,Linköping,
geografi,Vad heter Skånes största stad?,Malmö,Lund,Helsingborg,Kristianstad,
geografi,Vad heter Filippinernas huvudstad?,Manila,Cebu City,Davao,Zamboanga,
geografi,Var ligger Ninoy Aquino International Airport?,Manila,Hanoi,Bangkok,Kuala Lumpur,
geografi,Vad heter appen som är störst för offline-kartor på resor?,Maps.me,Citymapper,Mappy,Sygic,
geografi,Var ligger bilfabriken Ferrari med museum?,Maranello,Turin,Milano,Bologna,
geografi,Vad heter det djupaste stället i världshaven?,Marianergraven,Puerto Rico-graven,Java-graven,Kurilgraven,
geografi,I vilket landskap ligger Gripsholms slott?,Mariefred,Kalmar,Stockholm,Nyköping,
geografi,Vilken stad på Åland är känd för sina rödgraniter?,Mariehamn,Godby,Finström,Lemland,
geografi,Var ligger staden Casablanca?,Marocko,Montenegro,Dominikanska republiken,Lettland,
geografi,I vilket land hittar du Fès?,Marocko,Storbritannien,Tyskland,Pakistan,
geografi,Marrakech finns i vilket land?,Marocko,Spanien,Senegal,Malta,
geografi,Vilket land är känt för surfingstaden Taghazout?,Marocko,Egypten,Turkiet,Spanien,
geografi,Vad heter Frankrikes andra största stad?,Marseille,Lyon,Toulouse,Nice,
geografi,Renfe-Operadora trafikerar AVE-tåg till denna franska stad,Marseille,Toulouse,Montpellier,Lyon,
geografi,Vart finns världens största korallatolll?,Marshallöarna,Maldiverna,Kiribati,Tuvalu,
geografi,Vad heter bergstoppen vid Zermatt som blivit Schweiz symbol?,Matterhorn,Mont Blanc,Jungfrau,Pilatus,
geografi,Vilken stad på Malta är känd för sina glasblåsare?,Mdina,Valletta,Sliema,Rabat,
geografi,Vilka två hav förbinds av Suezkanalen?,Medelhavet och Röda havet,Atlanten och Indiska oceanen,Arktiska havet och Stilla havet,Medelhavet och Svarta havet,
geografi,Denna flod rinner baklänges under vissa årstider,Mekong,Tonle Sap,Rött floden,Irrawaddy,
geografi,Var finns Kaspiska havet?,Mellan Europa och Asien,Mellan Asien och Australien,I Afrika,I Sydamerika,
geografi,Var ligger Titicacasjön?,Mellan Peru och Bolivia,Argentina och Chile,Ecuador och Colombia,Brasilien och Venezuela,
geografi,Vad heter Europas största marknad med sjömat?,Mercamadrid,Tsukiji,Rungis,Billingsgate,
geografi,Genom detta sund seglade Odysseus i grekisk mytologi,Messinasundet,Bosporen,Dardanellerna,Gibraltar,
geografi,Vad heter klosterkomplexet byggt på klippor i Grekland?,Meteora,Athos,Delphi,Patmos,
geografi,Var mynnar floden Mississippi?,Mexikanska golfen,Atlanten,Kaspiska havet,Stilla havet,
geografi,Chichén Itzá finns i vilket land?,Mexiko,Portugal,Jamaica,Kambodja,
geografi,I detta land finns världens största underjordiska flod,Mexiko,Filippinerna,Malaysia,Slovenien,
geografi,Var ligger Europas största modegalleria Galleria Vittorio Emanuele II?,Milano,Rom,Paris,Lissabon,
geografi,I vilken stad ligger det berömda La Scala-operahuset?,Milano,Rom,Neapel,Venedig,
geografi,Denna flod mynnar i Mexikanska gulfen,Mississippi,Colorado River,Rio Grande,Missouri,
geografi,Vad heter ökenområdet i Nevada där man kan besöka Las Vegas?,Mojaveöknen,Sonoraöknen,Death Valley Basin,Coloradoöknen,
geografi,Vilken flod rinner genom Prag?,Moldau,Donau,Oder,Elbe,
geografi,Detta land har världens tätaste befolkning per kvadratkilometer,Monaco,Singapore,Vatikanen,Malta,
geografi,Var kan backpackers övernatta i rävjana yurter?,Mongoliet,Kazakstan,Kirgizistan,Ryssland,
geografi,Var ligger Gobiöknen?,Mongoliet/Kina,Kazakstan,Indien,Turkiet,
geografi,Vad heter högsta berget i Alperna?,Mont Blanc,Matterhorn,Zugspitze,Elbrus,
geografi,Vad heter skidområdet vid Chamonix?,Mont Blanc,Alperna,Pyrenéerna,Jura,
geografi,Vad heter det världsberömda klostret på en tidvattenö i Frankrike?,Mont Saint-Michel,Chartres,Versailles,Carcassonne,
geografi,Vilken monegaskisk stadsdel är känd för sitt kasino?,Monte Carlo,Monaco-Ville,La Condamine,Fontvieille,
geografi,Vad heter Europas djupaste floddalgång Tara Canyon?,Montenegro,Bulgarien,Rumänien,Schweiz,
geografi,Vad heter Europas mest kända tåglinje mellan Belgrad och Bar?,Montenegro Express,Orientexpressen,Balkanroute,Blue Train,
geografi,Vilken stad är huvudstad i Uruguay?,Montevideo,Riga,Wien,Helsingfors,
geografi,Var finns Zornmuseet?,Mora,Leksand,Falun,Avesta,
geografi,Vad heter huvudstaden i Ryssland?,Moskva,Alger,Canberra,Tunis,
geografi,I vilken stad ligger Röda torget?,Moskva,Sankt Petersburg,Kiev,Minsk,
geografi,I vilken stad ligger Domodedovo?,Moskva,Sankt Petersburg,Kiev,Minsk,
geografi,Var ligger St Basils katedral med färgglada kupoler?,Moskva,Sankt Petersburg,Kiev,Minsk,
geografi,Vilken bosnisk stad är känd för sin bro över Neretva?,Mostar,Sarajevo,Banja Luka,Tuzla,
geografi,Vilken vulkan nära Yogyakarta kan resenärer bestiga?,Mount Merapi,Mount Bromo,Mount Agung,Mount Rinjani,
geografi,Chhatrapati Shivaji Maharaj ligger vid vilken stad?,Mumbai,Accra,Durban,Tirana,
geografi,Vad heter Indiens största stad?,Mumbai,New Delhi,Kolkata,Bangalore,
geografi,"Vad heter världsberömda konserthallen i Wien?",Musikverein,Opernhaus,Philharmonie,Bachhalle,
geografi,"I Oman, vilken stad är huvudstad?",Muskat,Kyiv,Ulaanbaatar,Budapest,
geografi,Vilket land besöker många backpackers för tempelstaden Bagan?,Myanmar,Kambodja,Laos,Vietnam,
geografi,Var ligger Europas äldsta borg Alcazaba?,Málaga,Lissabon,Sevilla,Toledo,
geografi,Var ligger Birka – vikingatidens handelsplats?,Mälaren,Göta älv,Visby,Kalmar,
geografi,Vad heter Sveriges rikskända havsbad i Skåne?,Mölle,Ystad,Skurup,Lomma,
geografi,Var kan man dricka öl på Hofbräuhaus?,München,Vienna,Prag,Berlin,
geografi,Vad heter staden känd för ölfestivalen Oktoberfest?,München,Wien,Frankfurt,Nürnberg,
geografi,Vad heter Stockholms största naturreservat?,Nackareservatet,Tyresta,Hellasgården,Grimsta,
geografi,"I Kenya, vilken stad är huvudstad?",Nairobi,Wien,Mexico City,Wellington,
geografi,"Vad heter floden backpackers åker ""tubing"" i?",Nam Song Mekong,Chao Phraya,Irrawaddy,Kapuas,
geografi,I vilken öken finns världens största sanddyner?,Namiböknen,Saharas öken,Gobibergen,Kalahariöknen,
geografi,Vad heter Tokyos största internationella flygplats?,Narita,Haneda,Kansai,Itami,
geografi,Vad heter den peruanska öknen där man ser linjeformationer?,Nazcaöknen,Atacama,Ica,Chihuahuan,
geografi,Var ligger Europas äldsta operahus Teatro San Carlo?,Neapel,Roma,Milano,Bologna,
geografi,I vilket land ligger Utrecht?,Nederländerna,Ryssland,Nordmakedonien,Marocko,
geografi,Rotterdam finns i vilket land?,Nederländerna,Jordanien,Indien,Peru,
geografi,Var ligger staden Eindhoven?,Nederländerna,Lettland,Kuba,Argentina,
geografi,Var kan man se tulpanfälten Keukenhof?,Nederländerna,Belgien,Frankrike,Tyskland,
geografi,Detta land har störst andel av sin yta under havsnivå,Nederländerna,Bangladesh,Egypten,Maldiverna,
geografi,I vilket land ligger Mount Everest?,Nepal,Kina,Indien,Bhutan,
geografi,Var finns världens högsta pub The Irish Pub?,Nepal,Bhutan,Tibet,Peru,
geografi,Vad heter slottet i Bayern som inspirerade Disneys slott?,Neuschwanstein,Herrenchiemsee,Heidelberg,Hohenzollern,
geografi,Vilken stad är huvudstad i Indien?,New Delhi,Bamako,Lissabon,Kyiv,
geografi,Vilken stad betjänas av flygplatsen Indira Gandhi?,New Delhi,Rom,Lissabon,Abu Dhabi,
geografi,Var kan man besöka Frihetsgudinnan?,New York,Washington DC,Boston,Philadelphia,
geografi,Desta två städer förbinds av Europas längsta färjerutt,Newcastle-Bergen,Hull-Rotterdam,Portsmouth-Bilbao,Harwich-Hook of Holland,
geografi,Vad heter naturskyddsområdet i Tanzania med vulkankrater?,Ngorongoro,Serengeti,Amboseli,Masai Mara,
geografi,Vilka vattenfall ligger på gränsen mellan Kanada och USA?,Niagara Falls,Victoriafallen,Iguazúfallen,Angel Falls,
geografi,Vad heter största sjön i Centralamerika?,Nicaraguasjön,Titicacasjön,Maracaibosjön,Arenal,
geografi,Tramontana-vinden påverkar flygtrafiken mest på denna flygplats,Nice,Marseille,Montpellier,Perpignan,
geografi,Vilken stad är huvudstad i Cypern?,Nicosia,Bern,Sofia,Montevideo,
geografi,Vad heter staden på Cypern som är delad med en gräns?,Nicosia,Limassol,Larnaca,Pafos,
geografi,Denna flod bildar världens största binlandsdelta,Niger,Okavango,Kongo,Mekong,
geografi,Kano finns i vilket land?,Nigeria,Island,Storbritannien,Cypern,
geografi,Var ligger staden Lagos?,Nigeria,Vietnam,Singapore,Qatar,
geografi,Vad kallas Nordafrikas bördiga floddal?,Nildalen,Sahel,Sahara-oasen,Atlasregionen,
geografi,Vilken är världens längsta flod?,Nilen,Amazonas,Yangtzefloden,Mississippi,
geografi,Denna flod bildas genom sammanslagning av två andra floder,Nilen,Ganges,Kongo,Missouri,
geografi,Vad heter den linje som delar jorden i östra och västra halvklotet?,Nollmeridianen,Datumlinje,Ekvatorn,Polcirkeln,
geografi,Vilken nederländsk region är känd för sina väderkvarnar?,Noord-Holland,Zuid-Holland,Friesland,Zeeland,
geografi,Var finns Saharaöknen?,Nordafrika,Sydamerika,Centralasien,Nordamerika,
geografi,Var kan man se klippformationen Giants Causeway?,Nordirland,Skottland,Wales,Irland,
geografi,Vad heter den nordligaste nationalparken i Europa?,Nordkapp,Abisko,Sarek,Dovrefjell,
geografi,Vilket hav skiljer Storbritannien från Norge?,Nordsjön,Atlanten,Baltiska havet,Irlands hav,
geografi,Vad heter Göteborgs största köpcentrum?,Nordstan,Mall of Scandinavia,Emporia,Nova Lund,
geografi,Vad heter den berömda passagen genom norra Kanada?,Nordvästpassagen,Nordostpassagen,Davis sund,Hudson sund,
geografi,Vilket land är känt för fjorden Geiranger?,Norge,Island,Kanada,Skottland,
geografi,Var ligger klippformationen Preikestolen?,Norge,Sverige,Finland,Skottland,
geografi,Var ligger fjorden Geirangerfjorden?,Norge,Island,Skottland,Färöarna,
geografi,Var ligger fjället Trolltunga?,Norge,Skottland,Island,Sverige,
geografi,Var ligger Europas högsta vattenfall Vinnufossen?,Norge,Island,Schweiz,Italien,
geografi,Var finns Europas djupaste sjö Hornindalsvatnet?,Norge,Schweiz,Österrike,Italien,
geografi,Var kan man se Europas största klippformation Preikestolen?,Norge,Skottland,Irland,Island,
geografi,Vart ligger världens nordligaste stad?,Norge,Kanada,Ryssland,Grönland,
geografi,Detta land har världens längsta kust i förhållande till sin area,Norge,Chile,Grekland,Kroatien,
geografi,Dessa europeiska länder delar längsta landgräns,Norge-Sverige,Frankrike-Spanien,Polen-Tyskland,Ukraina-Polen,
geografi,Var ligger ridderborg Mont Saint-Michel?,Normandie,Bretagne,Provence,Alsace,
geografi,Världens minsta hav är,Norra ishavet,Södra ishavet,Indiska oceanen,Atlanten,
geografi,Var ligger Sveriges största fjällstation Kebnekaise?,Norrbotten,Jämtland,Dalarna,Västerbotten,
geografi,Var ligger Storforsen – Europas största obundna fors?,Norrbotten,Jämtland,Dalarna,Hälsingland,
geografi,Var i Stockholm finns Sergels torg?,Norrmalm,Södermalm,Kungsholmen,Östermalm,
geografi,Vad heter naturfenomenet i norr som drar resenärer till Island?,Norrsken,Midrnattsol,Solförmörkelse,Stjärnskur,
geografi,Vad heter katedralen i Paris?,Notre Dame,Sainte Chapelle,Sacré-Cœur,Chartres,
geografi,Vilken stad på Grönland är känd för sina isberg?,Nuuk,Ilulissat,Kangerlussuaq,Sisimiut,
geografi,Auckland finns i vilket land?,Nya Zeeland,Litauen,Storbritannien,Algeriet,
geografi,I vilket land hittar du Christchurch?,Nya Zeeland,Malaysia,Ryssland,Schweiz,
geografi,I vilket land finns Aoraki/Mount Cook?,Nya Zeeland,Brasilien,Syrien,Colombia,
geografi,Var kan backpackers njuta av fjorden Milford Sound?,Nya Zeeland,Chile,Norge,Kanada,
geografi,Vad heter Europas största marknad under julen?,Nürnberg julmarknad,Prag julmarknad,Dresden julmarknad,Vienna Christkindlmarkt,
geografi,Vad heter världsdelen som Stora barriärrevet ligger vid?,Oceanien,Asien,Afrika,Sydamerika,
geografi,Vilken nordmakedonsk stad vid en sjö är känd för sina ottomanska byggnader?,Ohrid,Skopje,Bitola,Tetovo,
geografi,Vad heter vulkanön backpackers besöker i Nicaragua?,Ometepe,Roatán,Corn Island,Tortuga,
geografi,Vad heter operahuset i Oslo?,Operan i Bjørvika,Operan i Bergen,Operan i Trondheim,Operan i Tromsø,
geografi,Vad heter Sveriges största djurpark för rovdjur?,Orsa Rovdjurspark,Kolmården,Furuvik,Skanes Djurpark,
geografi,Var finns flygplatsen Gardermoen?,Oslo,Helsingfors,Göteborg,Stockholm,
geografi,I vilken europeisk stad kan du besöka det berömda Munch-museet?,Oslo,Bergen,Trondheim,Stavanger,
geografi,Vad heter Kanadas huvudstad?,Ottawa,Toronto,Montreal,Vancouver,
geografi,Vad heter Sveriges största nationalpark?,Padjelanta,Sarek,Tyresta,Abisko,
geografi,I vilket land ligger Karachi?,Pakistan,Bangladesh,Libanon,Mexiko,
geografi,I vilket land ligger Lahore?,Pakistan,Österrike,Laos,Irland,
geografi,I vilket land finns K2?,Pakistan,Tyskland,Iran,Jordanien,
geografi,I detta land finns världens största glaciär utanför polarområdena,Pakistan,Argentina,Chile,Nepal,
geografi,Vad heter Portugals mest kända slottskomplex nära Lissabon?,Palácio da Pena,Palácio Nacional,Palácio Real,Belém,
geografi,Vad heter staden vid Lake Atitlán?,Panajachel,Antigua,Guatemala City,San Salvador,
geografi,Vad kallas den smala landremsan som förbinder Nord- och Sydamerika?,Panama,Costa Rica,Nicaragua,Honduras,
geografi,Atlanten förbinds med Stilla havet genom denna kanal,Panamakanalen,Suezkanalen,Korintkanalen,Kielkanalen,
geografi,Vad kallas långa motorvägen från Alaska till Argentina?,Panamericana,Siberian Highway,Silk Road,Outback Highway,
geografi,Detta land har flest språk i världen,Papua Nya Guinea,Indonesien,Nigeria,Indien,
geografi,Charles de Gaulle ligger vid vilken stad?,Paris,Bamako,Buenos Aires,Caracas,
geografi,Var är tågstationen Gare du Nord?,Paris,Rouen,Lyon,Marseille,
geografi,Var finns Louvre-pyramiden?,Paris,Lyon,Marseille,Toulouse,
geografi,Var finns Europas största interaktiva vetenskapsmuseum Cité des Sciences?,Paris,Berlin,London,Wien,
geografi,Var finns Europas största travbana Vincennes?,Paris,Rome,Madrid,Stockholm,
geografi,Var finns Europas största kyrkogård Père Lachaise?,Paris,Berlin,Wien,Madrid,
geografi,Var finns Europas största operahus Opera Garnier?,Paris,Wien,Milano,Hamburg,
geografi,I vilken stad ligger det berömda Louvren?,Paris,Lyon,Marseille,Nice,
geografi,Denne flygplats ligger längst från sin namngivna stad,Paris Beauvais,Frankfurt Hahn,Milano Bergamo,Düsseldorf Weeze,
geografi,TGV når sin högsta hastighet på denna sträcka,Paris-Lyon,Paris-Marseille,Paris-Bordeaux,Paris-Strasbourg,
geografi,Vad heter kända templet i Athen?,Parthenon,Akropolis,Zeustemplet,Poseidons tempel,
geografi,Var kan man vandra längs Torres del Paine?,Patagonien,Anderna,Altajbergen,Appalacherna,
geografi,Vad heter kända musikeventet varje sommar i Borlänge?,Peace & Love,Way Out West,Sweden Rock,Storsjöyran,
geografi,Vad heter flygplatsen i Toronto?,Pearson International,Billy Bishop,Montréal Trudeau,Calgary,
geografi,Vad kallas områden med permanent frost i marken?,Permafrost,Tjäle,Frostmark,Kryosol,
geografi,Vilket hav gränsar Iran i söder?,Persiska viken,Gulf of Aden,Kaspiska havet,Arabiske havet,
geografi,Vilket hav ligger mellan Iran och Saudiarabien?,Persiska viken,Röda havet,Caspiska havet,Arabiska havet,
geografi,I vilket land hittar du Machu Picchu?,Peru,Italien,Ungern,Irland,
geografi,I vilket land hittar du Nazcalinjerna?,Peru,Österrike,Belgien,Indonesien,
geografi,Vilket land har huvudstaden Lima?,Peru,Chile,Ecuador,Colombia,
geografi,Var kan man vandra på Inkaleden?,Peru,Bolivia,Chile,Mexiko,
geografi,Var går den klassiska Salkantay-trekken?,Peru,Bolivia,Ecuador,Chile,
geografi,Vart ligger världens högsta luftfartsflygplats?,Peru,Bolivia,Tibet,Ecuador,
geografi,I detta land ligger världens högsta sjö som kan seglas,Peru,Bolivia,Tibet,Chile,
geografi,Vad heter kyrkan i Rom där påven har sin stol?,Peterskyrkan,Santa Maria Maggiore,Laterankyrkan,San Giovanni,
geografi,Vad heter Kambodjas huvudstad?,Phnom Penh,Hanoi,Vientiane,Ho Chi Minh City,
geografi,Vad heter staden där man kan besöka Killing Fields?,Phnom Penh,Siem Reap,Vientiane,Hanoi,
geografi,Vilken italiensk region är känd för sina trufficar och viner?,Piemonte,Toscana,Umbrien,Emilia-Romagna,
geografi,Vad heter den äldsta hamnen i Europa som fortfarande används?,Piraeus,Alicante,Gdansk,Rotterdam,
geografi,Huvudstad i Montenegro?,Podgorica,Tunis,New Delhi,Santiago,
geografi,Vad heter Europas största medeltida borg Malbork?,Polen,Tyskland,Frankrike,Belgien,
geografi,Var finns Europas största koncentrationsläger Auschwitz?,Polen,Tyskland,Tjeckien,Slovakien,
geografi,Vilken polsk region är känd för sina bernstenar?,Pommern,Schlesien,Masovien,Små Polen,
geografi,Vad heter bron i Florens känd för guldsmedsbutiker?,Ponte Vecchio,Ponte Rialto,Ponte Sant’Angelo,Ponte Vasco,
geografi,Vad heter Haitis huvudstad?,Port-au-Prince,Santo Domingo,Castries,Kingston,
geografi,Vilken portugisisk stad är känd för sitt portvin?,Porto,Lissabon,Braga,Coimbra,
geografi,I vilket land hittar du Porto?,Portugal,Jamaica,Mali,Kambodja,
geografi,I vilket land hittar du Coimbra?,Portugal,Kenya,Kambodja,Nordmakedonien,
geografi,I vilket land hittar du Braga?,Portugal,Lettland,Norge,Chile,
geografi,Azorerna tillhör vilket land?,Portugal,Montenegro,Spanien,Sverige,
geografi,Till vilket land hör Madeira?,Portugal,Marocko,Kenya,Lettland,
geografi,Var ligger Europas längsta strand Praia da Rocha?,Portugal,Spanien,Italien,Frankrike,
geografi,Var i Europa finns Vindistrikt Douro?,Portugal,Spanien,Frankrike,Italien,
geografi,Var ligger Europas största vattentema Aquashow?,Portugal,Spanien,Italien,Frankrike,
geografi,Vad är det officiella språket i Brasilien?,Portugisiska,Spanska,Engelska,Franska,
geografi,Vad heter kända underjordiska flodsystemet i Slovenien?,Postojnagrottorna,Škocjan,Cueva Azul,Altamira,
geografi,"Vilken stad brukar backpackers i Bolivia resa till för gruvturer?",Potosí,La Paz,Santa Cruz,Cochabamba,
geografi,Vilken stad är huvudstad i Tjeckien?,Prag,Budapest,Lima,Bern,
geografi,Var kan man korsa Charles Bridge?,Prag,Budapest,Wien,Krakow,
geografi,Vilken tjeckisk stad är känd för sitt öl och sin gamla stadskärna?,Prag,Brno,Ostrava,Plzen,
geografi,RegioJet opererar höghastighetståg mellan dessa städer,Prag-Wien,Prag-Berlin,Prag-München,Prag-Zürich,
geografi,Vad heter borgen som ligger vid Prags slottshög?,Pragborgen,Bratislavaborgen,Krakowborgen,Wawel,
geografi,Vilken fransk region är känd för sina lavendelfält?,Provence,Languedoc,Aquitaine,Bretagne,
geografi,Vad heter staden i Kroatien känd för sitt romerska amfiteater?,Pula,Dubrovnik,Split,Zadar,
geografi,Vad heter staden vid Titicacasjön som är utgångspunkt för ö-liv?,Puno,Lima,Cusco,La Paz,
geografi,Vad heter bergskedjan mellan Spanien och Frankrike?,Pyrenéerna,Alperna,Apenninerna,Karpaterna,
geografi,Var finns de berömda Moai-statyerna?,Påskön,Hawaii,Samoa,Fiji,
geografi,Vilken fransk region är känd för sina tryffel?,Périgord,Provence,Languedoc,Bourgogne,
geografi,Vad heter Kanadas största provins?,Quebec,Ontario,British Columbia,Alberta,
geografi,Vilken stad är huvudstad i Ecuador?,Quito,Paris,Santo Domingo,Amsterdam,
geografi,Vilken stad ligger närmast ekvatorn?,Quito,Lagos,Nairobi,Jakarta,
geografi,"I Marocko, vilken stad är huvudstad?",Rabat,Quito,Muskat,Alger,
geografi,Vad heter den svenska tjänsten som säljer tågresor i Europa?,Rail Europe,Omio,Eurostar,Interflix,
geografi,Vad heter ön i södra Thailand känd för klättrare?,Railay,Koh Tao,Phuket,Ko Lipe,
geografi,Vad heter Vasa-museets stora attraktion?,Regalskeppet Vasa,Skeppet Kronan,Fartyget Gripshunden,Regalskeppet Wasa,
geografi,Vad heter önationens huvudstad på Island?,Reykjavik,Köpenhamn,Oslo,Helsingfors,
geografi,Vad heter världens nordligaste huvudstad?,Reykjavik,Helsingfors,Oslo,Nuuk,
geografi,Vad heter Europas största vattenfall?,Rheinfallen,Dettifoss,Gullfoss,Skógafoss,
geografi,Vilken flod rinner genom Köln?,Rhen,Donau,Amstel,Wisła,
geografi,Vad heter Tysklands längsta flod?,Rhen,Donau,Elbe,Neckar,
geografi,Denna flod är Europas viktigaste handelsled,Rhinen,Donau,Elbe,Seine,
